,filename,size,resolution,block_threshold,non_traffic_threshold,seed
43,./kart/evaluering/043.png,128,0.125,0.125,-0.125,761338718
44,./kart/evaluering/044.png,64,0.25,0.25,-0.25,145857092
45,./kart/evaluering/045.png,256,0.25,0.25,-0.25,2084558133
46,./kart/evaluering/046.png,128,0.125,0.125,-0.25,957106589
47,./kart/evaluering/047.png,128,0.125,0.5,0.0,1917963002
48,./kart/evaluering/048.png,128,0.125,0.125,-0.125,1455819991
49,./kart/evaluering/049.png,32,0.25,0.125,-0.125,1671565830
50,./kart/evaluering/050.png,32,0.25,0.125,-0.125,1631871623
51,./kart/evaluering/051.png,32,0.125,0.125,-0.125,417983441
52,./kart/evaluering/052.png,32,0.25,0.5,0.0,781482251
53,./kart/evaluering/053.png,128,0.25,0.125,-0.125,1002275723
54,./kart/evaluering/054.png,256,0.125,0.125,-0.25,1068999196
55,./kart/evaluering/055.png,128,0.125,0.5,0.0,94067870
56,./kart/evaluering/056.png,64,0.125,0.5,0.0,1173749071
57,./kart/evaluering/057.png,64,0.25,0.125,-0.25,331334160
58,./kart/evaluering/058.png,256,0.25,0.25,-0.25,1596387604
59,./kart/evaluering/059.png,32,0.25,0.5,0.0,1466836456
60,./kart/evaluering/060.png,32,0.25,0.125,-0.125,1981113449
61,./kart/evaluering/061.png,32,0.25,0.5,0.0,1599364550
62,./kart/evaluering/062.png,256,0.125,0.125,-0.25,787359109
63,./kart/evaluering/063.png,32,0.25,0.125,-0.25,2077711328
64,./kart/evaluering/064.png,32,0.25,0.125,-0.125,882294416
65,./kart/evaluering/065.png,64,0.25,0.5,0.0,699704628
66,./kart/evaluering/066.png,32,0.125,0.5,0.0,1944623248
67,./kart/evaluering/067.png,32,0.125,0.125,-0.125,795556160
68,./kart/evaluering/068.png,64,0.125,0.25,-0.25,163945743
69,./kart/evaluering/069.png,32,0.125,0.5,0.0,1008363426
70,./kart/evaluering/070.png,32,0.25,0.125,-0.25,1708709735
71,./kart/evaluering/071.png,32,0.125,0.125,-0.25,406886644
72,./kart/evaluering/072.png,64,0.125,0.25,-0.25,994157306
73,./kart/evaluering/073.png,32,0.125,0.125,-0.25,279004307
74,./kart/evaluering/074.png,128,0.125,0.125,-0.125,1474200731
75,./kart/evaluering/075.png,128,0.125,0.125,-0.25,1021568549
76,./kart/evaluering/076.png,64,0.125,0.125,-0.25,709091226
77,./kart/evaluering/077.png,64,0.25,0.5,0.0,487284116
78,./kart/evaluering/078.png,256,0.125,0.125,-0.25,1212254290
79,./kart/evaluering/079.png,128,0.125,0.125,-0.125,1438414599
80,./kart/evaluering/080.png,64,0.25,0.25,-0.25,2019291964
81,./kart/evaluering/081.png,64,0.25,0.25,-0.25,938776596
82,./kart/evaluering/082.png,128,0.25,0.25,-0.25,345075200
83,./kart/evaluering/083.png,64,0.25,0.5,0.0,1788162809
84,./kart/evaluering/084.png,64,0.25,0.5,0.0,1352408538
85,./kart/evaluering/085.png,64,0.125,0.25,-0.25,1503807854
86,./kart/evaluering/086.png,256,0.25,0.125,-0.25,208792607
87,./kart/evaluering/087.png,128,0.125,0.25,-0.25,670802254
88,./kart/evaluering/088.png,64,0.125,0.5,0.0,1648932249
89,./kart/evaluering/089.png,128,0.25,0.5,0.0,1787264313
90,./kart/evaluering/090.png,256,0.125,0.5,0.0,934620676
91,./kart/evaluering/091.png,256,0.125,0.25,-0.25,1728218297
92,./kart/evaluering/092.png,32,0.125,0.25,-0.25,1807519524
93,./kart/evaluering/093.png,128,0.125,0.125,-0.125,1928628490
94,./kart/evaluering/094.png,64,0.125,0.125,-0.25,619179887
95,./kart/evaluering/095.png,32,0.25,0.125,-0.25,514446424
96,./kart/evaluering/096.png,256,0.25,0.125,-0.25,1465647933
97,./kart/evaluering/097.png,128,0.25,0.125,-0.125,1367435607
98,./kart/evaluering/098.png,256,0.25,0.5,0.0,300116172
99,./kart/evaluering/099.png,64,0.125,0.125,-0.25,1788288545
